Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,518580,260320,-0.265237,52.228284,35,3,3,1,02/01/2012,2,13:15,393,E10000003,4,1428,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01018187
2.01E+12,523650,271810,-0.186833,52.330419,35,2,1,1,02/01/2012,2,13:07,393,E10000003,4,1514,1,30,1,2,4,1514,0,5,1,1,1,0,0,1,1,E01018151
2.01E+12,525250,269600,-0.164188,52.310197,35,3,2,1,03/01/2012,3,11:40,393,E10000003,3,1198,6,60,3,4,6,0,0,0,1,5,2,0,0,2,1,E01018133
2.01E+12,518660,264850,-0.262476,52.268975,35,2,1,2,03/01/2012,3,13:17,393,E10000003,3,1,3,70,0,-1,-1,0,0,0,1,4,2,7,0,2,1,E01018119
2.01E+12,505300,275640,-0.45481,52.368664,35,3,9,2,03/01/2012,3,16:45,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,6,4,2,0,2,2,1,E01018126
2.01E+12,510800,279430,-0.372809,52.40164,35,2,1,2,05/01/2012,5,07:16,393,E10000003,4,660,6,60,0,-1,-1,0,0,0,6,5,2,7,0,2,1,E01018126
2.01E+12,529370,287990,-0.096692,52.474483,35,3,1,1,06/01/2012,6,14:00,393,E10000003,5,86,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01018157
2.01E+12,539180,274770,0.04215,52.353297,35,3,1,1,06/01/2012,6,12:06,393,E10000003,3,1123,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01018123
2.01E+12,530770,272310,-0.082213,52.333262,35,3,3,1,07/01/2012,7,10:35,393,E10000003,3,1123,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01018169
2.01E+12,519150,267620,-0.254321,52.293761,35,2,2,1,07/01/2012,7,11:00,393,E10000003,5,172,6,30,3,4,5,173,0,0,1,1,1,0,0,2,2,E01018120
2.01E+12,516470,288010,-0.286517,52.477566,35,3,1,1,08/01/2012,1,15:48,393,E10000003,2,1,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01018200
2.01E+12,538790,274920,0.03649,52.354743,35,3,1,1,08/01/2012,1,12:56,393,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01018123
2.01E+12,536040,275090,-0.003793,52.35696,35,3,2,1,06/01/2012,6,16:07,393,E10000003,5,119,6,60,0,-1,-1,0,0,0,1,9,2,0,0,2,1,E01018124
2.01E+12,526580,270140,-0.144487,52.314745,35,2,2,2,09/01/2012,2,09:45,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018132
2.01E+12,523830,273650,-0.183516,52.346912,35,3,4,4,10/01/2012,3,17:10,393,E10000003,5,115,6,40,3,4,6,0,0,0,4,1,1,0,0,1,1,E01018146
2.01E+12,518360,262300,-0.267764,52.246124,35,3,2,1,11/01/2012,4,07:11,393,E10000003,5,326,6,30,3,4,5,326,0,0,7,9,1,0,0,2,1,E01018154
2.01E+12,519300,260470,-0.254647,52.229477,35,3,2,1,11/01/2012,4,08:40,393,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01018188
2.01E+12,528060,283850,-0.117555,52.437593,35,2,1,1,10/01/2012,3,16:50,393,E10000003,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,2,2,E01018211
2.01E+12,524070,273990,-0.179869,52.349913,35,3,1,2,13/01/2012,6,01:50,393,E10000003,5,112,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01018146
2.01E+12,519590,276460,-0.244729,52.373103,35,3,1,1,13/01/2012,6,08:17,393,E10000003,2,1,3,70,0,-1,-1,0,0,0,4,1,4,0,0,2,1,E01018114
2.01E+12,528120,272290,-0.12109,52.333707,35,3,2,1,13/01/2012,6,14:00,393,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01018205
2.01E+12,531970,268000,-0.066301,52.294248,35,3,2,1,16/01/2012,2,07:05,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,1,1,2,0,0,2,2,E01018129
2.01E+12,516700,259580,-0.293005,52.222035,35,3,1,1,13/01/2012,6,17:00,393,E10000003,6,0,3,30,0,-1,-1,0,0,0,7,1,4,0,0,1,1,E01018180
2.01E+12,532230,272840,-0.06059,52.337674,35,3,1,1,17/01/2012,3,07:50,393,E10000003,4,1040,6,40,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01018163
2.01E+12,524640,272040,-0.172228,52.332261,35,3,2,2,17/01/2012,3,17:16,393,E10000003,4,1514,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01018138
2.01E+12,518670,277590,-0.257837,52.383457,35,3,2,1,20/01/2012,6,18:17,393,E10000003,2,1,3,70,5,4,2,1,0,0,4,2,2,0,0,2,1,E01018114
2.01E+12,524220,272230,-0.178318,52.334064,35,2,2,1,21/01/2012,7,12:28,393,E10000003,6,0,6,30,6,4,6,0,0,0,1,1,2,0,0,1,1,E01018143
2.01E+12,519610,267620,-0.247579,52.293661,35,3,1,1,21/01/2012,7,11:00,393,E10000003,5,173,6,30,0,-1,-1,0,0,0,1,2,2,0,0,2,2,E01018119
2.01E+12,524420,273280,-0.174996,52.343454,35,3,3,4,23/01/2012,2,17:25,393,E10000003,6,0,6,30,8,4,6,0,0,0,4,1,1,0,0,1,1,E01018144
2.01E+12,531430,270040,-0.073419,52.312708,35,3,3,1,24/01/2012,3,18:00,393,E10000003,5,121,6,40,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01018129
2.01E+12,517740,291850,-0.26647,52.5118,35,3,1,1,25/01/2012,4,18:52,393,E10000003,5,89,6,30,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01018216
2.01E+12,519150,261530,-0.256469,52.239035,35,3,2,1,26/01/2012,5,08:21,393,E10000003,4,1043,1,40,1,4,6,0,0,0,1,1,2,0,0,2,2,E01018189
2.01E+12,531960,272130,-0.064829,52.33136,35,3,2,1,26/01/2012,5,18:05,393,E10000003,3,1123,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01018167
2.01E+12,518720,264310,-0.261787,52.264109,35,3,2,2,27/01/2012,6,05:50,393,E10000003,3,1,3,70,3,4,6,0,0,0,6,8,2,0,0,2,1,E01018119
2.01E+12,529880,268090,-0.096894,52.295555,35,3,1,1,28/01/2012,7,19:30,393,E10000003,4,1040,6,60,0,-1,-1,0,0,0,6,8,2,0,0,2,1,E01018129
2.01E+12,528550,264640,-0.1177,52.264867,35,3,1,1,30/01/2012,2,07:38,393,E10000003,4,1040,6,60,0,-1,-1,0,0,0,6,1,1,0,7,2,1,E01018204
2.01E+12,525150,272380,-0.164621,52.335201,35,3,2,1,31/01/2012,3,17:26,393,E10000003,4,1514,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01018142
2.01E+12,525190,292650,-0.156449,52.517329,35,3,2,1,31/01/2012,3,17:30,393,E10000003,4,1095,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01018213
2.01E+12,531300,271420,-0.074786,52.325139,35,3,1,1,01/02/2012,4,05:35,393,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01018168
2.01E+12,517290,283300,-0.276103,52.435066,35,3,2,1,01/02/2012,4,20:15,393,E10000003,6,0,6,30,3,4,6,0,0,0,1,9,2,0,0,2,2,E01018195
2.01E+12,523630,281680,-0.18349,52.419113,35,3,2,2,03/02/2012,6,08:15,393,E10000003,5,109,6,60,0,-1,-1,0,0,0,1,1,4,0,0,2,1,E01018207
