Roadname,number_of_accidents
Unclassified,705
A14,368
A1134,247
A1307,181
A10,153
A141,140
B1040,128
A603,126
A1303,115
A1123,111
A142,102
A1,97
A1101,79
A428,77
A1309,75
A605,74
B1049,72
B1101,69
A505,68
B1043,67
A1198,65
B198,62
M11,61
C280,61
A47,56
B1050,55
B1514,52
A11,50
C235,47
B1428,45
A(M)1,42
C315,42
B1102,40
A1096,37
C233,33
B1093,30
B660,28
A1301,28
C298,27
B1090,26
B1099,26
C291,25
C312,24
B645,23
B1091,23
C115,22
B1044,22
C305,21
C290,20
C112,19
C303,19
B1095,19
B1046,18
C86,17
C294,17
B1098,17
A15,16
C186,16
C249,16
C283,16
C197,15
C279,15
C295,15
C311,15
B1382,15
C287,14
C292,14
C121,13
C184,13
C307,13
A1304,13
B1169,12
C111,11
C286,11
C318,11
C326,11
B661,11
C193,10
C204,10
C231,10
C296,10
C332,10
B1047,10
B1085,10
B1104,10
B1166,10
B1187,10
B1381,10
C21,9
C134,9
C236,9
C248,9
C284,9
C309,9
B1052,9
B1061,9
B1086,9
B1411,9
C69,8
C81,8
C239,8
C272,8
C282,8
B1096,8
C13,7
C119,7
C190,7
C198,7
C200,7
C206,7
C232,7
C289,7
C313,7
C320,7
B1042,7
A1139,7
C28,6
C205,6
C210,6
C271,6
C22,5
C29,5
C72,5
C74,5
C99,5
C109,5
C141,5
C179,5
C259,5
C261,5
C281,5
C293,5
C339,5
B671,5
B1063,5
C20,4
C23,4
C31,4
C73,4
C101,4
C103,4
C137,4
C139,4
C145,4
C147,4
C173,4
C191,4
C199,4
C237,4
C269,4
C335,4
B1368,4
A1421,4
C19,3
C89,3
C91,3
C95,3
C110,3
C152,3
C177,3
C183,3
C201,3
C214,3
C215,3
C234,3
C308,3
C340,3
C342,3
B1103,3
C10,2
C25,2
C35,2
C80,2
C96,2
C97,2
C100,2
C105,2
C106,2
C113,2
C124,2
C132,2
C140,2
C155,2
C172,2
C176,2
C178,2
C185,2
C202,2
C211,2
C219,2
C221,2
C230,2
C240,2
C242,2
C243,2
C247,2
C251,2
C254,2
C262,2
C270,2
C273,2
C310,2
C316,2
C327,2
C328,2
C336,2
B1048,2
C12,1
A(M)14,1
C14,1
C24,1
C26,1
C33,1
C36,1
C75,1
C78,1
C82,1
C85,1
C87,1
C88,1
C94,1
C102,1
C108,1
C125,1
C126,1
C128,1
C135,1
C142,1
C143,1
C146,1
C154,1
C159,1
C160,1
C164,1
C166,1
C169,1
C170,1
C175,1
C180,1
C181,1
C182,1
C188,1
C194,1
C195,1
C208,1
C213,1
C218,1
C227,1
C228,1
C229,1
C244,1
C255,1
C258,1
C274,1
C275,1
C314,1
C317,1
C319,1
C333,1
C505,1
A604,1
B1165,1
