county,population,births,deaths,AREAEHECT,pop_density_perkm2
Hartlepool,92.0,0.3,0.2,9842.3,934.7408634
Middlesbrough,138.4,0.5,0.3,5456.49,2536.429096
Redcar and Cleveland,135.1,0.4,0.4,25388.54,532.1298507
Stockton-on-Tees,191.5,0.6,0.4,20974.44,913.0160328
Darlington,105.5,0.3,0.2,19747.48,534.2453822
Halton,125.7,0.4,0.3,9032.42,1391.653621
Warrington,202.1,0.6,0.4,18237.16,1108.176931
Blackburn with Darwen,147.4,0.6,0.3,13702.2,1075.739662
Blackpool ,142.0,0.4,0.4,4315.07,3290.792502
Kingston upon Hull,256.3,1.0,0.6,8149.75,3144.881745
East Riding of Yorkshire ,334.1,0.8,0.8,249672.67,133.8152069
North East Lincolnshire,159.5,0.5,0.4,20358.61,783.4523084
North Lincolnshire,167.4,0.5,0.4,87568.47,191.1646966
York ,198.1,0.5,0.5,27201.48,728.2691971
Derby,248.7,0.9,0.5,7803.11,3187.190748
Leicester,329.8,1.3,0.6,7334.18,4496.753557
Rutland,37.5,0.1,0.1,39374.88,95.23838549
Nottingham,305.6,1.2,0.6,7461.35,4095.773553
Herefordshire,183.4,0.5,0.5,217973.28,84.13875315
Telford and Wrekin,166.6,0.6,0.3,29031.35,573.8623936
Stoke-on-Trent,248.9,1.0,0.6,9344.84,2663.501997
Bath and North East Somerset,176.0,0.5,0.4,35112.32,501.2485646
Bristol,428.2,1.7,0.8,23533.93,1819.50061
North Somerset,202.5,0.6,0.5,39080.44,518.1620268
South Gloucestershire,262.7,0.8,0.5,53664.69,489.5211358
Plymouth,257.0,0.9,0.6,8437.23,3046.023399
Torbay,130.9,0.4,0.4,11913.99,1098.708325
Bournemouth,183.4,0.6,0.5,4716.81,3888.221065
Poole,147.7,0.5,0.4,7471.61,1976.816242
Swindon,209.1,0.8,0.4,23009.33,908.7617936
Peterborough,183.7,0.8,0.3,34343.79,534.8856373
Luton,203.2,1.0,0.3,4335.24,4687.168415
Southend-on-Sea,173.6,0.6,0.4,6784.61,2558.732189
Thurrock,157.7,0.6,0.3,18431.78,855.587469
Medway ,264.0,0.9,0.5,26885.68,981.9353648
Bracknell Forest,113.5,0.4,0.2,10938.41,1037.627955
West Berkshire ,153.8,0.5,0.3,70416.94,218.4133534
Reading ,155.7,0.7,0.2,4039.79,3854.160736
Slough,140.2,0.7,0.2,3254.43,4307.974054
Windsor and Maidenhead,144.7,0.4,0.3,19843.48,729.2067722
Wokingham,154.4,0.5,0.3,17896.54,862.736596
Milton Keynes,248.8,1.0,0.4,30862.67,806.1518981
Brighton and Hove,273.3,0.9,0.5,8537.68,3201.103813
Portsmouth,205.8,0.7,0.4,6014.44,3421.764952
Southampton,236.8,1.0,0.4,5638.51,4199.691053
Isle of Wight,138.2,0.4,0.4,39492.64,349.9386215
County Durham,513.0,1.6,1.3,223269.86,229.7667943
Northumberland,316.0,0.8,0.8,507834.94,62.22494262
Cheshire East,370.0,1.0,0.9,116635.73,317.2269767
Cheshire West and Chester,329.5,1.0,0.8,94120.29,350.0839192
Shropshire,306.4,0.7,0.7,319730.35,95.83075238
Cornwall,532.2,1.5,1.3,361337.59,147.2860878
Isles of Scilly,2.2,0.0,0.0,2284.93,96.28303712
Wiltshire,472.8,1.5,1.0,325533.64,145.238446
Bedford,157.4,0.5,0.3,47641.15,330.386651
Central Bedfordshire,254.6,0.9,0.5,71566.53,355.7528917
Bolton,276.7,1.0,0.7,13979.49,1979.328287
Bury,185.0,0.6,0.4,9948.69,1859.541306
Manchester,503.1,2.1,0.9,11564.51,4350.378875
Oldham ,224.8,0.8,0.5,14234.76,1579.232808
Rochdale,211.6,0.8,0.5,15808.15,1338.550052
Salford,233.9,0.9,0.6,9719.07,2406.608863
Stockport,283.2,0.9,0.6,12605.57,2246.625896
Tameside,219.2,0.8,0.5,10315.76,2124.90403
Trafford,226.5,0.8,0.5,10603.54,2136.079083
Wigan,317.7,1.0,0.7,18818.53,1688.229633
Knowsley ,145.8,0.5,0.3,8647.95,1685.948693
Liverpool,466.3,1.5,1.1,13353.79,3491.892564
St. Helens,175.2,0.5,0.4,13638.93,1284.558246
Sefton,273.7,0.7,0.7,20477.48,1336.590245
Wirral,319.6,0.9,0.8,25639.91,1246.494235
Barnsley,231.1,0.8,0.6,32908.46,702.2510321
Doncaster,302.2,1.0,0.7,56854.57,531.5315902
Rotherham ,257.2,0.8,0.6,28653.61,897.6181361
Sheffield,552.6,1.7,1.2,36794.42,1501.858162
Gateshead,200.2,0.6,0.5,14407.64,1389.540549
Newcastle upon Tyne,280.1,0.8,0.6,11511.79,2433.157658
North Tyneside,200.7,0.6,0.5,8517.55,2356.311381
South Tyneside,148.1,0.4,0.4,6714.62,2205.634868
Sunderland,275.4,0.8,0.7,13964.08,1972.202966
Birmingham,"1,072.9",4.5,2.0,26778.63,4006.552986
Coventry,316.9,1.3,0.6,9865.26,3212.282292
Dudley ,312.8,0.9,0.7,9796.82,3192.872789
Sandwell ,308.0,1.3,0.7,8555.64,3599.964468
Solihull,206.6,0.6,0.4,17828.86,1158.795346
Walsall,269.3,1.0,0.6,10395.4,2590.568905
Wolverhampton,249.4,1.0,0.6,6943.32,3591.941607
Bradford,522.3,2.1,1.0,36641.61,1425.428632
Calderdale,203.7,0.6,0.5,36392.17,559.7357893
Kirklees ,422.3,1.5,0.9,40857.05,1033.603748
Leeds,751.3,2.7,1.6,55172.49,1361.729369
Wakefield,325.7,1.1,0.8,33860.74,961.8809276
City,7.4,0.0,0.0,314.93,2349.728511
Barking and Dagenham,185.9,1.0,0.3,3779.93,4918.080494
Barnet,356.4,1.4,0.6,8674.83,4108.43786
Bexley,232.0,0.8,0.4,6428.64,3608.850394
Brent,311.2,1.4,0.4,4323.26,7198.271675
Bromley,309.3,1.1,0.6,15013.48,2060.148613
Camden,220.4,0.8,0.3,2178.92,10115.1029
Croydon,363.3,1.5,0.6,8649.55,4200.218508
Ealing,338.4,1.6,0.4,5554.43,6092.434327
Enfield,312.5,1.3,0.4,8220.01,3801.698538
Greenwich,254.7,1.2,0.4,5043.92,5049.643928
Hackney,246.3,1.1,0.3,1904.9,12929.81259
Hammersmith and Fulham,182.5,0.7,0.2,1715.4,10638.91804
Haringey,254.9,1.1,0.3,2959.83,8611.981094
Harrow,239.0,0.9,0.4,5046.27,4736.171469
Havering,237.2,0.8,0.5,11445.72,2072.390378
Hillingdon,274.0,1.1,0.4,11570.11,2368.171089
Hounslow,254.0,1.2,0.3,5658.54,4488.790395
Islington,206.1,0.8,0.3,1485.66,13872.62227
Kensington and Chelsea,158.6,0.6,0.2,1238.39,12806.95096
Kingston upon Thames,160.0,0.6,0.3,3726.11,4294.022452
Lambeth,303.1,1.2,0.3,2724.93,11123.22151
Lewisham,275.9,1.3,0.4,3531.97,7811.504628
Merton,199.7,0.9,0.3,3762.47,5307.683516
Newham,308.0,1.6,0.3,3857.37,7984.714974
Redbridge,279.0,1.2,0.5,5644.22,4943.109943
Richmond upon Thames,187.0,0.7,0.3,5876.1,3182.382873
Southwark,288.3,1.3,0.3,2991.34,9637.821177
Sutton,190.1,0.7,0.4,4384.69,4335.540255
Tower Hamlets,254.1,1.2,0.3,2157.93,11775.17343
Waltham Forest,258.2,1.2,0.3,3880.79,6653.284512
Wandsworth,307.0,1.4,0.4,3522.01,8716.613525
Westminster,219.6,0.8,0.3,2203,9968.225148
Buckinghamshire ,505.5,1.6,1.0,156493.89,323.0158059
Cambridgeshire ,621.3,1.9,1.2,305400.73,203.4376277
Cumbria ,499.6,1.3,1.4,718248.4,69.55810831
Derbyshire ,769.3,2.2,1.9,255076.19,301.5961623
Devon ,746.9,1.9,2.0,663617.22,112.549822
Dorset ,413.0,0.9,1.2,257295.67,160.5157211
East Sussex ,526.5,1.4,1.6,172516.87,305.1875448
Essex ,"1,393.9",4.2,3.2,369478.03,377.2619444
Gloucestershire ,597.0,1.7,1.4,270454,220.739941
Hampshire ,"1,318.7",3.9,2.9,373782.83,352.7984418
Hertfordshire,"1,116.1",3.9,2.2,164306.44,679.2795218
Kent,"1,463.4",4.6,3.4,363942.92,402.096021
Lancashire ,"1,170.9",3.5,3.0,308299.36,379.7931984
Leicestershire ,650.3,1.8,1.3,208378.68,312.0760723
Lincolnshire,713.7,2.1,1.9,610261.05,116.9499512
Norfolk,858.0,2.3,2.2,549558.87,156.1252209
Northamptonshire,691.7,2.4,1.4,236698.65,292.2281137
North Yorkshire ,600.3,1.6,1.6,805321.5,74.54165821
Nottinghamshire ,785.5,2.3,1.8,208689.47,376.3965666
Oxfordshire,654.7,2.2,1.3,260594.75,251.2329968
