Area Codes 1,county,population,births,deaths
E06000001,Hartlepool,92.0,0.3,0.2
E06000002,Middlesbrough,138.4,0.5,0.3
E06000003,Redcar and Cleveland,135.1,0.4,0.4
E06000004,Stockton-on-Tees,191.5,0.6,0.4
E06000005,Darlington,105.5,0.3,0.2
E06000006,Halton,125.7,0.4,0.3
E06000007,Warrington,202.1,0.6,0.4
E06000008,Blackburn with Darwen,147.4,0.6,0.3
E06000009,Blackpool ,142.0,0.4,0.4
E06000010,Kingston upon Hull,256.3,1.0,0.6
E06000011,East Riding of Yorkshire ,334.1,0.8,0.8
E06000012,North East Lincolnshire,159.5,0.5,0.4
E06000013,North Lincolnshire,167.4,0.5,0.4
E06000014,York ,198.1,0.5,0.5
E06000015,Derby,248.7,0.9,0.5
E06000016,Leicester,329.8,1.3,0.6
E06000017,Rutland,37.5,0.1,0.1
E06000018,Nottingham,305.6,1.2,0.6
E06000019,Herefordshire,183.4,0.5,0.5
E06000020,Telford and Wrekin,166.6,0.6,0.3
E06000021,Stoke-on-Trent,248.9,1.0,0.6
E06000022,Bath and North East Somerset,176.0,0.5,0.4
E06000023,Bristol,428.2,1.7,0.8
E06000024,North Somerset,202.5,0.6,0.5
E06000025,South Gloucestershire,262.7,0.8,0.5
E06000026,Plymouth,257.0,0.9,0.6
E06000027,Torbay,130.9,0.4,0.4
E06000028,Bournemouth,183.4,0.6,0.5
E06000029,Poole,147.7,0.5,0.4
E06000030,Swindon,209.1,0.8,0.4
E06000031,Peterborough,183.7,0.8,0.3
E06000032,Luton,203.2,1.0,0.3
E06000033,Southend-on-Sea,173.6,0.6,0.4
E06000034,Thurrock,157.7,0.6,0.3
E06000035,Medway ,264.0,0.9,0.5
E06000036,Bracknell Forest,113.5,0.4,0.2
E06000037,West Berkshire ,153.8,0.5,0.3
E06000038,Reading ,155.7,0.7,0.2
E06000039,Slough,140.2,0.7,0.2
E06000040,Windsor and Maidenhead,144.7,0.4,0.3
E06000041,Wokingham,154.4,0.5,0.3
E06000042,Milton Keynes,248.8,1.0,0.4
E06000043,Brighton and Hove,273.3,0.9,0.5
E06000044,Portsmouth,205.8,0.7,0.4
E06000045,Southampton,236.8,1.0,0.4
E06000046,Isle of Wight,138.2,0.4,0.4
E06000047,County Durham,513.0,1.6,1.3
E06000048,Northumberland,316.0,0.8,0.8
E06000049,Cheshire East,370.0,1.0,0.9
E06000050,Cheshire West and Chester,329.5,1.0,0.8
E06000051,Shropshire,306.4,0.7,0.7
E06000052,Cornwall,532.2,1.5,1.3
E06000053,Isles of Scilly,2.2,0.0,0.0
E06000054,Wiltshire,472.8,1.5,1.0
E06000055,Bedford,157.4,0.5,0.3
E06000056,Central Bedfordshire,254.6,0.9,0.5
E08000001,Bolton,276.7,1.0,0.7
E08000002,Bury,185.0,0.6,0.4
E08000003,Manchester,503.1,2.1,0.9
E08000004,Oldham ,224.8,0.8,0.5
E08000005,Rochdale,211.6,0.8,0.5
E08000006,Salford,233.9,0.9,0.6
E08000007,Stockport,283.2,0.9,0.6
E08000008,Tameside,219.2,0.8,0.5
E08000009,Trafford,226.5,0.8,0.5
E08000010,Wigan,317.7,1.0,0.7
E08000011,Knowsley ,145.8,0.5,0.3
E08000012,Liverpool,466.3,1.5,1.1
E08000013,St. Helens,175.2,0.5,0.4
E08000014,Sefton,273.7,0.7,0.7
E08000015,Wirral,319.6,0.9,0.8
E08000016,Barnsley,231.1,0.8,0.6
E08000017,Doncaster,302.2,1.0,0.7
E08000018,Rotherham ,257.2,0.8,0.6
E08000019,Sheffield,552.6,1.7,1.2
E08000020,Gateshead,200.2,0.6,0.5
E08000021,Newcastle upon Tyne,280.1,0.8,0.6
E08000022,North Tyneside,200.7,0.6,0.5
E08000023,South Tyneside,148.1,0.4,0.4
E08000024,Sunderland,275.4,0.8,0.7
E08000025,Birmingham,"1,072.9",4.5,2.0
E08000026,Coventry,316.9,1.3,0.6
E08000027,Dudley ,312.8,0.9,0.7
E08000028,Sandwell ,308.0,1.3,0.7
E08000029,Solihull,206.6,0.6,0.4
E08000030,Walsall,269.3,1.0,0.6
E08000031,Wolverhampton,249.4,1.0,0.6
E08000032,Bradford,522.3,2.1,1.0
E08000033,Calderdale,203.7,0.6,0.5
E08000034,Kirklees ,422.3,1.5,0.9
E08000035,Leeds,751.3,2.7,1.6
E08000036,Wakefield,325.7,1.1,0.8
E09000001,City,7.4,0.0,0.0
E09000002,Barking and Dagenham,185.9,1.0,0.3
E09000003,Barnet,356.4,1.4,0.6
E09000004,Bexley,232.0,0.8,0.4
E09000005,Brent,311.2,1.4,0.4
E09000006,Bromley,309.3,1.1,0.6
E09000007,Camden,220.4,0.8,0.3
E09000008,Croydon,363.3,1.5,0.6
E09000009,Ealing,338.4,1.6,0.4
E09000010,Enfield,312.5,1.3,0.4
E09000011,Greenwich,254.7,1.2,0.4
E09000012,Hackney,246.3,1.1,0.3
E09000013,Hammersmith and Fulham,182.5,0.7,0.2
E09000014,Haringey,254.9,1.1,0.3
E09000015,Harrow,239.0,0.9,0.4
E09000016,Havering,237.2,0.8,0.5
E09000017,Hillingdon,274.0,1.1,0.4
E09000018,Hounslow,254.0,1.2,0.3
E09000019,Islington,206.1,0.8,0.3
E09000020,Kensington and Chelsea,158.6,0.6,0.2
E09000021,Kingston upon Thames,160.0,0.6,0.3
E09000022,Lambeth,303.1,1.2,0.3
E09000023,Lewisham,275.9,1.3,0.4
E09000024,Merton,199.7,0.9,0.3
E09000025,Newham,308.0,1.6,0.3
E09000026,Redbridge,279.0,1.2,0.5
E09000027,Richmond upon Thames,187.0,0.7,0.3
