store name,Store Type/ Services,postcode,lat,long
 Canary Wharf ," Dipping,Coffee,Ice Cream,Cold Chocolixir Drink,Hot Chocolixir Drink ", E14 5NY ,51.5030781,-0.0185951
 Covent Garden Market ," Chocolate Counter,Dipping,Ice Cream,Cold Chocolixir Drink,Hot Chocolixir Drink ", WC2E 8RA ,51.512061,-0.1229647
 Fenchurch Street ," Chocolate Counter,Dipping ", EC3M 6BB ,51.511801,-0.0829831
 Harrods ," Chocolate Counter,Dipping ", SW1X 7XL ,51.4995934,-0.1630406
 Harrods Godiva Cafe ," Chocolate Counter,Dipping,Coffee,Ice Cream,Cold Chocolixir Drink,Hot Chocolixir Drink ", SW1X 7XL ,51.4995934,-0.1630406
 John Lewis , Chocolate Counter , W1A 1EX ,51.5171329,-0.1342436
 Regent Street ," Chocolate Counter,Dipping,Coffee,Ice Cream,Cold Chocolixir Drink,Hot Chocolixir Drink ", W1B 4JA ,51.5111705,-0.139315
 Selfridges London ," Chocolate Counter,Dipping ", W1A 1AB ,51.5145855,-0.1528388
 Selfridges Manchester ,Chocolate Counter,M17 8DA,53.466179,-2.3490048
St Pancras," Chocolate Counter,Dipping,Coffee,Ice Cream,Hot Chocolixir Drink ",N1C 4QL,51.5314275,-0.1261331
