storename,postcode,lat,long
Aberdeen,AB11 5RG,57.1435603,-2.0969
Basingstoke,RG21 7JY,51.2651393,-1.0865248
Bath,BA1 1AQ,51.3788468,-2.3592111
Belfast,BT1 4FT,49.9086716,11.4260125
Birmingham,B5 4BU,52.4779372,-1.8939034
Bluewater Shopping Centre,DA9 9SQ,51.4383395,0.2709134
Brighton,BN1 1AH,50.8227147,-0.1428505
Bristol,BS1 3BH,51.4581296,-2.5857905
Bristol - Cribbs Causeway,BS34 5DG,51.5251586,-2.5953568
Bromley,BR1 1DD,51.4038907,0.0165818
Cambridge,CB2 3NE,52.2049918,0.1209598
Canterbury,CT1 2SG,51.2784251,1.0806205
Cardiff,CF10 1AH,51.4793487,-3.1768242
Cheltenham,GL50 1LY,51.8996339,-2.0762112
Chester,CH1 2HA,53.1910865,-2.8913924
Chichester,PO19 1HS,50.8364775,-0.7767057
Dudley,DY5 1SR,52.4812212,-2.1124072
Edinburgh,EH2 2EY,55.9519867,-3.1993936
Edinburgh - John Lewis,EH1 3SP,55.955163,-3.1878
Exeter,EX1 1GB,50.7250552,-3.5269107
Gateshead - Metro Centre,NE11 9YR,54.9576414,-1.6685552
Glasgow,G1 4BW,55.8574047,-4.2544388
Guernsey,GY1 1JX,49.4610198,-2.5409332
Guildford,GU1 4LB,51.236192,-0.5727709
Harrogate,HG1 1QY,53.9921804,-1.5406845
Huntingdon - Factory Shop,PE29 7HF,52.3434184,-0.1825838
Lakeside,RM20 2ZP,51.4877806,0.2844901
Leeds,LS1 6JS,53.7976918,-1.5431451
Leeds - Restaurant,LS1 5EL,53.7961469,-1.5458034
Leicester,LE1 4AN,52.635829,-1.1375853
Liverpool,L1 3DE,53.4044509,-2.9850461
London - Borough Market Restaurant,SE1 9AL,51.5054177,-0.0902397
London - Canary Wharf,E14 5EQ,51.5046219,-0.0162947
London - Chancery Lane,EC4A 3BN,51.5159657,-0.1085354
London - Cheapside-St Pauls,EC2V 6AH,51.5140908,-0.096031
London - Covent Garden,WC2H 9HB,51.514349,-0.1271511
London - Euston Train Station,NW1 2DU,51.5286642,-0.1332964
London - Hammersmith,W6 9YA,51.4922514,-0.2240685
London - Kensington,W8 6SU,51.5003368,-0.1941173
London - Kings Cross,N1C 4AP,51.5323804,-0.1232968
London - Kingston,KT1 1RW,51.4104921,-0.3054913
London - Leadenhall Market,EC3V 1LR,51.5126799,-0.0833929
London - Liverpool Street,EC2M 7PY,51.5190587,-0.081381
London - London Bridge,SE1 9SP,51.5046742,-0.0860056
London - Luton Airport,LU2 9LU,51.8803711,-0.3765368
London - Moorgate,EC2M 6XB,51.5188827,-0.0882206
London - Paddington,W2 1EE,51.5160064,-0.1758275
London - Soho,W1D 5JN ,51.5130757,-0.1313252
London - Stratford,E20 1EH,51.5446377,-0.013509
London - The Strand,WC2R 0DE,51.5099611,-0.1221143
London - Victoria,SW1E 6RD,51.4968444,-0.1386883
London - Victoria Station,SW1V 1JU,51.4949738,-0.1443541
London - Waterloo,SE1 7LY,51.5031465,-0.1132592
Maidstone,ME14 1QG,51.275056,0.5205697
Manchester - Arndale Centre,M4 3AJ,53.484018,-2.241133
Manchester - Trafford Centre,M17 8AR,53.466179,-2.3490048
Milton Keynes,MK9 3AG,52.0433999,-0.7574785
Newbury,RG14 1AY,51.4077888,-1.320738
Newcastle,NE1 5BS,54.9739206,-1.6124782
Norwich,NR2 1SQ,52.6258732,1.2897716
Nottingham,NG1 7DA,52.9518482,-1.1491604
Oxford,OX1 4DN,51.7519008,-1.2569095
Plymouth,PL1 1EA,50.3722773,-4.1378807
Reading,RG1 2AH,51.4536453,-0.9713166
Salisbury,SP1 2AF,51.0679311,-1.796436
Sheffield - Meadowhall,S9 1EN,53.4130403,-1.412461
Solihull,B91 3GS,52.4124038,-1.7793879
Southampton,SO15 1QE,50.9035836,-1.4071878
St Albans,AL1 3YD,51.7514885,-0.3390182
Taunton,TA1 1HX,51.0142655,-3.1024986
Telford,TF3 4BW,52.6756005,-2.4468018
Tunbridge Wells,TN1 2SS,51.1349962,0.2657307
Watford,WD17 2TJ,51.6556699,-0.3946547
Windsor,SL4 1DU,51.4817586,-0.6091152
York,YO1 9ND,53.9589605,-1.0834978
York - John Lewis,YO32 9AE,54.0147528,-1.0636774
