date,area,avgPrice
01/01/2013,Barking And Dagenham,215365.6387
01/01/2013,Barnet,382258.8036
01/01/2013,Barnsley,89812.68948
01/01/2013,Bath And North East Somerset,222976.4698
01/01/2013,Bedford,153771.908
01/01/2013,Bexley,234040.8473
01/01/2013,Birmingham,113182.8965
01/01/2013,Blackburn With Darwen,76505.30668
01/01/2013,Blackpool,75804.94849
01/01/2013,Blaenau Gwent,64328.33462
01/01/2013,Bolton,82702.65081
01/01/2013,Bournemouth,173261.3194
01/01/2013,Bracknell Forest,209214.9225
01/01/2013,Bradford,88847.00118
01/01/2013,Brent,332654.6916
01/01/2013,Bridgend,113991.8467
01/01/2013,Brighton And Hove,228392.624
01/01/2013,Bromley,302246.7942
01/01/2013,Buckinghamshire,271879.5094
01/01/2013,Bury,90282.02822
01/01/2013,Caerphilly,89416.44971
01/01/2013,Calderdale,91804.47106
01/01/2013,Cambridgeshire,179301.5951
01/01/2013,Camden,679481.8149
01/01/2013,Cardiff,139598.9412
01/01/2013,Carmarthenshire,106336.0675
01/01/2013,Central Bedfordshire,168420.2757
01/01/2013,Ceredigion,163070.6228
01/01/2013,Cheshire East,145687.3157
01/01/2013,Cheshire West And Chester,145125.7472
01/01/2013,City Of Bristol,167976.0351
01/01/2013,City Of Derby,100216.6695
01/01/2013,City Of Kingston Upon Hull,67212.50284
01/01/2013,City Of Nottingham,83205.66835
01/01/2013,City Of Peterborough,109199.1389
01/01/2013,City Of Plymouth,128147.9334
01/01/2013,City Of Westminster,739875.3217
01/01/2013,Conwy,121013.546
01/01/2013,Cornwall,182222.1192
01/01/2013,Coventry,103531.7368
01/01/2013,Croydon,257784.5155
01/01/2013,Cumbria,116759.614
01/01/2013,Darlington,97332.00301
01/01/2013,Denbighshire,121340.3212
01/01/2013,Derbyshire,118516.745
01/01/2013,Detached-All,255806.4381
01/01/2013,Devon,189583.8565
01/01/2013,Doncaster,89934.46167
01/01/2013,Dorset,208735.6379
01/01/2013,Dudley,119766.3561
01/01/2013,Durham,82385.18719
01/01/2013,E&W-All,161585.2541
01/01/2013,Ealing,346101.7549
01/01/2013,East,173847.5907
01/01/2013,East Midlands,121540.9416
01/01/2013,East Riding Of Yorkshire,125364.4455
01/01/2013,East Sussex,175819.5369
01/01/2013,Enfield,264637.1323
01/01/2013,Essex,189684.2366
01/01/2013,Flat-All,153568.9782
01/01/2013,Flintshire,120828.1039
01/01/2013,Gateshead,93365.42574
01/01/2013,Gloucestershire,172871.9391
01/01/2013,Greater London,369521.341
01/01/2013,Greater Manchester,98751.99055
01/01/2013,Greenwich,263842.5378
01/01/2013,Gwynedd,149712.3192
01/01/2013,Hackney,452038.6944
01/01/2013,Halton,96082.69151
01/01/2013,Hammersmith And Fulham,603318.8257
01/01/2013,Hampshire,206849.8381
01/01/2013,Haringey,375032.6523
01/01/2013,Harrow,307525.3336
01/01/2013,Hartlepool,69642.86437
01/01/2013,Havering,254777.5048
01/01/2013,Herefordshire,181307.1383
01/01/2013,Hertfordshire,240338.6357
01/01/2013,Hillingdon,270714.0879
01/01/2013,Hounslow,289873.6801
01/01/2013,Isle Of Anglesey,129714.3031
01/01/2013,Isle Of Wight,143615.614
01/01/2013,Islington,511611.1584
01/01/2013,Kensington And Chelsea,1101117.38
01/01/2013,Kent,178843.5933
01/01/2013,Kingston Upon Thames,340695.4428
01/01/2013,Kirklees,103365.4244
01/01/2013,Knowsley,104153.1605
01/01/2013,Lambeth,380751.2601
01/01/2013,Lancashire,102201.3826
01/01/2013,Leeds,123222.5418
01/01/2013,Leicester,108347.6759
01/01/2013,Leicestershire,142541.5266
01/01/2013,Lewisham,287256.8972
01/01/2013,Lincolnshire,121981.0348
01/01/2013,Liverpool,92183.21661
01/01/2013,London,369521.341
01/01/2013,Luton,129117.5644
01/01/2013,Manchester,90433.82457
01/01/2013,Medway,139131.3322
01/01/2013,Merseyside,103827.9554
01/01/2013,Merthyr Tydfil,68419.31196
01/01/2013,Merton,351716.3189
01/01/2013,Middlesbrough,69053.29166
01/01/2013,Milton Keynes,157210.0657
01/01/2013,Monmouthshire,179682.6812
01/01/2013,Neath Port Talbot,74737.98629
01/01/2013,Newcastle upon Tyne,113297.5566
01/01/2013,Newham,240392.4363
01/01/2013,Newport,128733.2526
01/01/2013,Norfolk,143742.5366
01/01/2013,North East,96459.8247
01/01/2013,North East Lincolnshire,75197.16358
01/01/2013,North Lincolnshire,98821.13838
01/01/2013,North Somerset,169636.7117
01/01/2013,North Tyneside,117520.5002
01/01/2013,North West,106140.8179
01/01/2013,North Yorkshire,162944.2248
01/01/2013,Northamptonshire,135525.3452
01/01/2013,Northumberland,113136.999
01/01/2013,Nottinghamshire,117797.1425
01/01/2013,Oldham,70293.86223
01/01/2013,Oxfordshire,242870.6664
01/01/2013,Pembrokeshire,135723.7106
01/01/2013,Poole,199002.5294
01/01/2013,Portsmouth,141861.2089
01/01/2013,Powys,150623.676
01/01/2013,Reading,196351.872
01/01/2013,Redbridge,302588.6651
01/01/2013,Redcar And Cleveland,94598.61742
01/01/2013,Rhondda Cynon Taff,60924.17515
01/01/2013,Richmond Upon Thames,488076.4732
01/01/2013,Rochdale,88066.51648
01/01/2013,Rotherham,92918.09139
01/01/2013,Rutland,188604.2149
01/01/2013,Salford,87201.34188
01/01/2013,Sandwell,91772.26003
01/01/2013,Sefton,107811.6769
01/01/2013,Semi-All,153399.3443
01/01/2013,Sheffield,117612.6104
01/01/2013,Shropshire,154916.2439
01/01/2013,Slough,170014.5734
01/01/2013,Solihull,194888.2118
01/01/2013,Somerset,160743.9012
01/01/2013,South East,209561.6472
01/01/2013,South Gloucestershire,177945.2129
01/01/2013,South Tyneside,94772.42065
01/01/2013,South West,171656.4243
01/01/2013,South Yorkshire,101354.1828
01/01/2013,Southampton,142657.1487
01/01/2013,Southend-On-Sea,150034.8764
01/01/2013,Southwark,404345.6792
01/01/2013,St Helens,103020.7379
01/01/2013,Staffordshire,130156.5502
01/01/2013,Stockport,138313.0754
01/01/2013,Stockton-On-Tees,111923.2394
01/01/2013,Stoke-On-Trent,69223.2568
01/01/2013,Suffolk,154308.5211
01/01/2013,Sunderland,89829.68287
01/01/2013,Surrey,308648.9437
01/01/2013,Sutton,250208.4751
01/01/2013,Swansea,109308.961
01/01/2013,Swindon,131666.3603
01/01/2013,Tameside,92552.24745
01/01/2013,Terrace-All,121423.5545
01/01/2013,The Vale Of Glamorgan,157419.0553
01/01/2013,Thurrock,143962.4359
01/01/2013,Torbay,143616.0098
01/01/2013,Torfaen,90099.23962
01/01/2013,Tower Hamlets,375448.1631
01/01/2013,Trafford,176279.246
01/01/2013,Tyne And Wear,103511.4317
01/01/2013,Wakefield,107726.8318
01/01/2013,Wales,115906.5796
01/01/2013,Walsall,111889.451
01/01/2013,Waltham Forest,253861.4082
01/01/2013,Wandsworth,436114.1848
01/01/2013,Warrington,139343.1133
01/01/2013,Warwickshire,166624.9185
01/01/2013,West Berkshire,222963.0091
01/01/2013,West Midlands,114302.8942
01/01/2013,West Midlands (region),129459.5081
