postcode,lat,long
NP7 9LL,51.8182711,-3.0282668
OX14 3HL,51.6720829,-1.2796904
GY1 2AL,49.4688928,-2.5629922
B49 5DA,52.2164525,-1.8701704
SK9 7JX,53.3025827,-2.2369875
ME16 0PX,51.286182,0.4974571
GU34 2PZ,51.152525,-0.9679731
WA14 5ZL,53.4056589,-2.3641073
HP6 5DR,51.6775342,-0.6063369
MK45 2LU,52.0325512,-0.4934128
SP10 1LY,51.2085026,-1.4812294
DE6 1GF,53.016672,-1.7330942
TN23 3RT,51.1555663,0.8575555
HP20 1AL,51.8205216,-0.7980853
SW12 9BN,51.4449935,-0.1517774
SM7 2NB,51.3231105,-0.198762
EC1Y 8NX,51.5218457,-0.0923633
EN5 5XY,51.6553419,-0.2031569
CF63 2PE,51.4143863,-3.2391744
BA1 5AL,51.3832721,-2.3587572
W2 6ES,51.5168519,-0.1874395
HP9 2PW,51.6125219,-0.6477572
BR3 1SD,51.4122085,-0.0240365
MK41 0UE,52.1441583,-0.4217508
SW1X 8GG,51.4989852,-0.1569419
HP4 1HS,51.7619786,-0.5669473
TN16 3BB,51.3083484,0.0384893
CM12 9BY,51.6239784,0.4165628
B3 2BJ,52.4828315,-1.8982797
CM23 2BA,51.872978,0.1598646
LE8 4DJ,52.5748764,-1.1638967
WC1N 1AF,51.5248459,-0.1239382
DA9 9SA,51.4405307,0.2715401
NN13 6BE,52.0268968,-1.1511372
RG12 1RQ,51.4023364,-0.7476302
NW4 3FQ,51.5761752,-0.2245226
DT6 3QP,50.7336766,-2.7598222
BN1 2LA,50.8248277,-0.1513144
BR1 5AJ,51.4210887,0.0210641
BR2 9HD,51.3990088,0.0180779
IG9 5EP,51.6253912,0.0450844
MK18 1RS,52.0006722,-0.9853825
RH15 9NP,50.9550639,-0.1311863
IP33 3DH,52.2441024,0.7082636
SK17 6DF,53.2596223,-1.9118012
G12 8AU,55.8773962,-4.2917136
NP26 4UX,51.5975456,-2.7954108
CB2 9FT,52.1689115,0.1096939
CB1 1EW,52.2065387,0.1304298
E14 5EW,51.5046219,-0.0162947
CT1 1UL,51.2762222,1.0860516
CF10 2AQ,51.4821066,-3.1779753
CR3 6LB,51.2819351,-0.0778854
RG4 8AY,51.4672524,-0.9736452
SO53 2LG,50.9868645,-1.3731181
SK8 7AE,53.3735296,-2.186774
SM3 8BD,51.3591372,-0.2165244
GL50 3QW,51.9025063,-2.0831927
HP5 1DR,51.7070017,-0.6110181
CH1 1HA,53.1910311,-2.8867665
PO19 1RD,50.8323263,-0.7839286
SN15 3WL,51.4583936,-2.116938
W4 5TA,51.4926286,-0.2624585
BH23 1QD,50.7365031,-1.7792964
GL7 1SZ,51.7134339,-1.9713955
SW4 0HY,51.4619352,-0.1392452
SW11 1PP,49.9438108,10.2226552
EC1V 4DE,51.524338,-0.1024222
BS8 1QS,51.4569444,-2.6084008
KT11 1AF,51.3301694,-0.4138996
CO4 3BE,51.887369,0.9298784
EH4 1AW,55.9593201,-3.2194026
CR5 2NB,51.3222905,-0.1365782
CF71 7AG,51.4617112,-3.4478733
TA18 8DA,50.8827602,-2.7945282
N8 8DU,51.5789206,-0.1241224
TN6 1DL,51.0583426,0.1618472
CR0 1LG,51.3745291,-0.0962952
DA1 1DN,51.445134,0.2190243
NN11 4DR,52.2572689,-1.1616175
SO45 6AG,50.8701502,-1.398545
DT1 1BN,50.7143481,-2.4361849
WR9 8LB,52.268829,-2.1456749
PO32 6SP,50.7581576,-1.2885326
RH19 4YZ,51.1235006,-0.0109306
SW14 7JG,51.4643567,-0.2691616
BN21 1HR,50.7727793,0.267711
W2 2DX,35.1996463,1.0096614
NE1 7JD,54.9750341,-1.6150608
CB7 4QJ,52.4009028,0.2687349
EN2 6SN,51.6512734,-0.0834793
EN2 7AS,51.6534256,-0.0924961
KT18 5DB,51.3324296,-0.2693109
KT10 9QE,51.3681201,-0.3669624
EX1 2ED,50.7243961,-3.5140106
GU9 7HD,51.2155094,-0.8020976
N12 8NR,51.6113883,-0.1798489
GU51 3LA,51.2807873,-0.8417231
L37 4AJ,53.5554657,-3.0583833
B74 4AB,52.5876402,-1.831381
GU16 7JD,51.3144105,-0.7441382
SW6 1LX,51.4803125,-0.1995025
W6 8QX,51.4842336,-0.2195551
SL9 8ES,51.5881033,-0.5508296
SP8 4UA,51.0358234,-2.2759144
SP8 4UA,51.0358234,-2.2759144
SW7 4SF,51.4944993,-0.1835435
GU7 1HY,51.1864107,-0.6094664
GU21 3LG,51.3188427,-0.5907141
PO12 1SD,50.7926619,-1.1352906
WR14 4WR,52.1125856,-2.3284001
BR6 6BG,51.3540409,0.0900672
SE10 9DD,51.4821699,-0.0143311
BN27 1BE,50.8639452,0.2596545
B28 9EF,52.4282272,-1.841725
TW12 2HQ,51.4156121,-0.3736403
B17 9PP,52.4585913,-1.9490795
AL5 2TJ,51.8156846,-0.3571441
HG1 1HD,53.990061,-1.5364221
HA3 6HF,51.6053487,-0.3395911
GU27 2AB,51.0890159,-0.7102281
PO9 1PR,50.851832,-0.9812133
OX3 9JT,51.7721343,-1.2105434
G84 7LA,55.994687,-4.7026397
RG9 2BA,51.5385665,-0.9050233
KT12 4HL,51.3652542,-0.3990841
SG14 1BN,51.7974368,-0.0770412
NE46 3PJ,54.9727533,-2.0989326
WC1V 7EX,51.5174254,-0.1187805
N5 1RD,51.5466983,-0.1038429
SG5 1HF,51.9504655,-0.2830305
N7 6PA,51.5558574,-0.1158536
EX22 6AZ,50.8085964,-4.3528212
RH6 7PZ,51.1712079,-0.1625875
RH12 1EH,51.0621806,-0.3269452
PE29 3PR,52.3293177,-0.1836021
CT21 5NH,51.0719916,1.0889557
IP3 9SQ,40.9254113,-7.9175332
IP1 1AS,39.4740482,-8.6293826
N1 9EN,51.5337098,-0.1080883
NE2 2AN,54.9916602,-1.6043053
NW3 6NN,51.5461906,-0.179654
CV8 1JP,52.3415101,-1.5758174
W8 6SA,51.4990711,-0.1977692
ME19 4QJ,51.2938941,0.4090585
SW3 5XP,51.4884061,-0.1670193
NN2 7BD,52.2621735,-0.9012843
KT1 1TG,51.4117172,-0.3050146
SW3 1JE,51.4993086,-0.1649538
WA16 6BU,53.3040252,-2.3752764
LS1 6JB,53.7987729,-1.5438166
SS9 3JQ,51.5485844,0.6551012
SS9 3JQ,51.5485844,0.6551012
LU7 1DH,51.9167273,-0.6635308
BN7 2LP,50.8745851,0.0145995
WS13 6RX,52.674884,-1.8433507
LN2 4DS,53.2513819,-0.5209241
BN17 6AT,50.8102065,-0.5409813
DA3 7QA,51.3963902,0.300678
LE17 4NF,52.4587699,-1.1991671
SO41 9GF,50.7571821,-1.5495469
SL6 8AF,51.5231287,-0.7145502
M3 3BN,53.4807029,-2.2491155
LE16 8BD,52.4754747,-0.9159595
SN8 1AA,51.4207917,-1.7303457
SL7 1DD,51.5733392,-0.7750685
W1U 4SD,51.5194392,-0.1521236
LS6 4RJ,53.8285217,-1.567696
SN12 6LP,51.3755392,-2.1387653
LL59 5EA,53.2239153,-4.1663576
NW7 1GU,51.6076866,-0.2104692
NP25 3EQ,51.809864,-2.7184635
EC4R 9AN,51.510027,-0.0866891
EH10 4AX,55.9294441,-3.2092927
N10 1DJ,51.5915943,-0.142426
BS48 1AP,51.433521,-2.7580148
KT3 4HE,51.4023555,-0.2559474
NG24 1FF,53.0798295,-0.81209
RG14 1NB,51.4070811,-1.3292922
CB8 8NY,52.246943,0.4080139
TF10 7DS,52.765428,-2.3674545
G77 6GW,55.7829985,-4.3493564
NR28 0NB,52.8270479,1.3683181
HA6 2XW,51.6112419,-0.4233168
NR4 6NU,52.6079185,1.2511665
NG1 4AF,52.9555943,-1.148819
LE2 4LA,52.6002286,-1.0813808
MK10 9SU,52.0433329,-0.695268
EX20 1WL,50.7404552,-4.0040703
SW7 3RD,51.4919863,-0.179221
LS21 3AS,53.9048903,-1.6962226
W1A 1EX,51.5171329,-0.1342436
RH8 0QE,51.2583869,-0.0045261
TN12 6EX,51.1798795,0.3936613
N13 5TU,51.6179282,-0.1083436
BH14 0AP,50.7287466,-1.9399308
SW6 4TH,51.4743143,-0.2012506
PE1 1NR,52.5739264,-0.2458942
GU32 3JA,51.0043459,-0.9366585
NE20 9NH,55.049668,-1.7424858
CF23 8AN,51.5302743,-3.1380885
BS20 7DE,51.4859093,-2.7659116
DT1 3BW,50.7108063,-2.4496731
SK12 1RD,53.3489331,-2.1197142
SW15 1TW,51.4639059,-0.2162866
CT11 9EJ,51.3326799,1.4169641
SW20 0BS,51.4089945,-0.2338962
RG30 6WR,51.4657265,-1.0191415
JE3 8LB,49.1800361,-2.2037812
TW9 1AE,51.4623467,-0.3014265
WD3 1FX,51.6406733,-0.471635
BH24 1AT,50.8473083,-1.7933482
GY1 1FG,49.4556968,-2.5424613
SO51 8AS,50.9901326,-1.4966745
HA4 7DS,51.571367,-0.4230228
NN10 6AR,52.2993788,-0.619588
CB10 1EH,52.0230562,0.2418497
SP2 7TS,51.0760693,-1.8018531
PL12 6LD,50.4214784,-4.2334778
CW11 4BE,53.1426934,-2.3634926
CR2 9LE,51.3318921,-0.0752514
GU47 0PU,51.3411551,-0.7783238
IP17 1EP,52.2136349,1.4925847
