From,World 2007,World  2008,World  2009,North America 2007,North America 2008,North America 2009,Latin America 2007,Latin America 2008,Latin America 2009,Europe 2007,Europe 2008,Europe 2009,CIS 2007,CIS 2008,CIS 2009, Africa 2007, Africa 2008, Africa 2009,Middle East 2007,Middle East 2008,Middle East 2009,Asia 2007,Asia 2008,Asia 2009
Agricultural products,1132.88,1340.15,1168.85,150.58,163.87,141.94,40.03,54.53,43.67,550.28,635.98,545.23,43.21,55.56,43.66,50.05,65.48,55.81,47.45,63.40,57.35,247.63,297.45,273.87
Fuels and mining products,2656.77,3521.71,2262.88,488.46,614.47,353.81,84.03,125.00,80.03,1001.74,1304.28,795.50,43.32,65.46,37.45,53.39,76.68,52.65,50.50,69.86,46.02,862.06,1196.54,832.04
Manufactures,9528.87,10468.21,8354.65,1825.62,1860.31,1479.75,310.80,388.80,300.67,4310.60,4658.58,3620.15,307.47,390.17,225.92,254.74,314.26,271.35,384.46,476.12,393.09,2089.49,2329.83,2008.22
Total exports,13670.00,15763.00,12178.00,2518.47,2695.47,2026.06,448.92,585.99,437.28,5988.68,6759.70,5105.37,399.28,517.53,310.97,368.70,470.39,390.54,497.19,629.64,510.34,3277.38,3913.31,3197.25
Agricultural products,178.03,211.17,178.81,74.99,83.09,70.49,12.00,16.38,12.70,20.78,22.71,17.37,2.14,3.05,2.17,7.07,8.73,6.06,5.02,6.99,5.22,55.67,70.07,64.61
Fuels and mining products,258.44,345.51,217.55,172.69,225.32,133.31,16.33,24.73,17.07,32.81,49.22,30.28,0.22,0.44,0.17,1.70,3.18,2.59,1.37,2.13,1.88,33.01,39.94,31.90
Manufactures,1325.78,1389.28,1129.82,671.64,669.85,534.92,95.16,117.54,93.38,246.61,265.46,217.58,9.55,12.27,6.81,17.61,20.35,18.61,39.70,48.00,40.00,244.79,255.44,218.28
Total exports,1840.76,2035.21,1602.42,951.31,1013.43,768.66,129.52,164.94,128.22,325.28,369.06,291.92,12.17,16.03,9.35,27.65,33.61,28.30,48.87,60.16,49.47,343.56,375.63,324.23
Agricultural products,126.16,156.32,139.74,20.28,21.23,20.05,19.88,27.31,22.60,40.60,48.84,39.47,5.76,7.63,5.51,7.23,9.47,7.93,6.42,8.11,8.76,25.52,32.88,34.35
Fuels and mining products,206.65,258.30,178.29,78.06,95.63,58.75,41.92,60.16,41.24,38.06,42.29,25.29,0.20,0.21,0.08,2.17,2.29,1.18,0.91,1.51,0.90,44.03,53.33,49.48
Manufactures,154.04,172.90,125.57,50.49,52.95,34.67,61.57,73.38,55.56,23.04,23.66,17.62,0.62,0.85,0.23,4.30,4.87,3.87,1.82,2.24,1.54,11.94,14.34,11.65
Total exports,497.99,603.41,458.87,148.83,169.80,114.82,124.28,161.38,119.96,105.89,120.74,89.85,6.59,8.69,5.83,13.76,16.70,12.99,9.17,11.87,11.33,81.77,100.64,95.59
Agricultural products,521.81,603.24,528.29,23.87,23.74,20.58,4.61,5.58,4.65,422.46,485.99,425.73,16.51,20.93,16.07,15.26,20.62,17.76,10.95,14.13,13.21,26.82,31.07,28.66
Fuels and mining products,611.36,767.42,482.55,51.15,58.56,33.59,3.94,3.78,2.82,487.21,611.67,380.22,4.91,6.76,3.97,14.83,21.46,15.95,7.32,9.95,7.13,23.31,28.21,22.84
Manufactures,4553.12,4946.08,3879.20,375.25,381.48,301.67,70.12,85.18,65.64,3296.65,3532.40,2748.10,166.66,208.60,124.50,116.35,140.16,125.70,132.09,160.78,129.63,375.01,418.35,367.54
